"","Timepoints","Equilibrium","Perturbations"
"354",354,19,17
"355",355,19,17
"356",356,19,16
"357",357,19,16
"358",358,19,16
"359",359,19,16
"360",360,19,16
"361",361,19,16
"362",362,20,16
"363",363,20,16
"364",364,20,16
"365",365,20,16
"366",366,20,16
"367",367,20,16
"368",368,20,16
"369",369,20,16
"370",370,20,16
"371",371,20,16
"372",372,20,16
"373",373,20,16
"374",374,20,16
"375",375,20,17
"376",376,20,17
"377",377,20,17
"378",378,20,16
"379",379,20,15
"380",380,20,16
"381",381,20,16
"382",382,20,16
"383",383,20,17
"384",384,20,17
"385",385,20,17
"386",386,20,17
"387",387,20,17
"388",388,20,18
"389",389,20,18
"390",390,20,18
"391",391,20,18
"392",392,20,18
"393",393,20,18
"394",394,20,19
"395",395,20,19
"396",396,20,18
"397",397,20,18
"398",398,20,18
"399",399,20,18
"400",400,20,18
"401",401,20,18
"402",402,20,18
"403",403,20,18
"404",404,20,18
"405",405,20,18
"406",406,20,18
"407",407,20,18
"408",408,20,18
"409",409,20,18
"410",410,20,18
"411",411,20,18
"412",412,20,18
"413",413,20,18
"414",414,20,18
"415",415,20,18
"416",416,20,18
"417",417,19,18
"418",418,19,18
"419",419,19,18
"420",420,19,18
"421",421,19,18
"422",422,19,18
"423",423,18,18
"424",424,18,18
"425",425,18,18
"426",426,18,18
"427",427,18,18
"428",428,18,18
"429",429,18,18
"430",430,18,18
"431",431,18,18
"432",432,18,18
"433",433,19,18
"434",434,20,18
"435",435,20,18
"436",436,20,19
"437",437,20,19
"438",438,20,19
"439",439,20,19
"440",440,20,19
"441",441,20,19
"442",442,20,19
"443",443,20,19
"444",444,20,19
"445",445,20,19
"446",446,20,19
"447",447,20,19
"448",448,20,19
"449",449,20,19
"450",450,20,19
"451",451,20,19
"452",452,20,19
"453",453,20,19
"454",454,20,19
"455",455,20,19
"456",456,20,19
"457",457,20,19
"458",458,20,19
"459",459,20,19
"460",460,20,19
"461",461,20,19
"462",462,20,19
"463",463,20,20
"464",464,20,20
"465",465,20,20
"466",466,20,20
"467",467,20,20
"468",468,20,20
"469",469,20,20
"470",470,20,20
"471",471,20,20
"472",472,20,19
"473",473,20,19
"474",474,20,19
"475",475,20,19
"476",476,20,19
"477",477,20,19
"478",478,20,19
"479",479,20,19
"480",480,20,19
"481",481,20,19
"482",482,20,19
"483",483,20,19
"484",484,20,19
"485",485,20,19
"486",486,20,18
"487",487,20,18
"488",488,20,18
"489",489,20,18
"490",490,20,18
"491",491,20,17
"492",492,20,17
"493",493,20,17
"494",494,20,17
"495",495,20,17
"496",496,20,17
"497",497,20,17
"498",498,20,17
"499",499,20,17
"500",500,20,17
"501",501,20,17
"502",502,20,17
"503",503,20,17
"504",504,20,17
"505",505,19,18
"506",506,19,18
"507",507,19,18
"508",508,19,19
"509",509,19,19
"510",510,19,19
"511",511,19,19
"512",512,19,19
"513",513,19,19
"514",514,19,19
"515",515,19,19
"516",516,19,19
"517",517,19,19
"518",518,19,19
"519",519,18,19
"520",520,18,18
"521",521,18,19
"522",522,18,19
"523",523,17,19
"524",524,17,18
"525",525,16,18
"526",526,15,18
"527",527,15,17
"528",528,15,18
"529",529,16,18
"530",530,16,18
"531",531,15,18
"532",532,15,18
"533",533,16,18
"534",534,16,18
"535",535,16,18
"536",536,16,18
"537",537,16,18
"538",538,16,18
"539",539,16,18
"540",540,16,18
"541",541,16,18
"542",542,16,18
"543",543,16,19
"544",544,16,19
"545",545,17,19
"546",546,17,19
"547",547,17,19
"548",548,17,19
"549",549,17,19
"550",550,17,19
"551",551,17,19
"552",552,17,20
"553",553,17,20
"554",554,17,20
"555",555,17,20
"556",556,17,20
"557",557,17,20
"558",558,17,20
"559",559,17,20
"560",560,17,20
"561",561,17,20
"562",562,18,20
"563",563,18,20
"564",564,18,20
"565",565,18,20
"566",566,18,20
"567",567,18,20
"568",568,18,20
"569",569,18,20
"570",570,19,20
"571",571,19,20
"572",572,19,20
"573",573,19,20
"574",574,19,20
"575",575,19,20
"576",576,19,20
"577",577,19,20
"578",578,19,20
"579",579,19,20
"580",580,19,20
"581",581,18,20
"582",582,19,20
"583",583,19,20
"584",584,19,20
"585",585,19,19
"586",586,19,19
"587",587,19,19
"588",588,19,20
"589",589,19,20
"590",590,19,20
"591",591,19,20
"592",592,19,19
"593",593,18,19
"594",594,18,19
"595",595,18,19
"596",596,18,19
"597",597,18,19
"598",598,18,19
"599",599,18,19
"600",600,17,19
"601",601,17,19
"602",602,17,19
"603",603,17,19
"604",604,17,19
"605",605,17,19
"606",606,17,19
"607",607,17,19
"608",608,17,19
"609",609,16,19
"610",610,15,19
"611",611,15,19
"612",612,16,19
"613",613,16,19
"614",614,16,19
"615",615,17,20
"616",616,17,19
"617",617,17,19
"618",618,17,19
"619",619,18,19
"620",620,18,19
"621",621,18,19
"622",622,18,19
"623",623,17,19
"624",624,17,19
"625",625,17,19
"626",626,17,19
"627",627,17,19
"628",628,17,19
"629",629,18,19
"630",630,18,19
"631",631,18,19
"632",632,17,20
"633",633,17,20
"634",634,17,20
"635",635,17,20
"636",636,17,20
"637",637,17,20
"638",638,18,20
"639",639,18,20
"640",640,18,20
"641",641,18,20
"642",642,18,20
"643",643,18,20
"644",644,18,20
"645",645,18,20
"646",646,18,19
"647",647,17,19
"648",648,17,19
"649",649,17,19
"650",650,18,19
"651",651,18,19
"652",652,18,19
"653",653,18,19
"654",654,18,19
"655",655,18,19
"656",656,18,19
"657",657,18,19
"658",658,18,19
"659",659,18,19
"660",660,18,19
"661",661,18,19
"662",662,18,19
"663",663,18,19
"664",664,18,19
"665",665,18,19
"666",666,18,19
"667",667,18,19
"668",668,18,20
"669",669,18,20
"670",670,18,20
"671",671,18,20
"672",672,18,20
"673",673,18,20
"674",674,18,20
"675",675,18,20
"676",676,19,20
"677",677,19,20
"678",678,19,20
"679",679,19,20
"680",680,19,20
"681",681,19,20
"682",682,19,20
"683",683,19,20
"684",684,19,20
"685",685,19,20
"686",686,19,20
"687",687,19,20
"688",688,19,20
"689",689,19,20
"690",690,19,20
"691",691,19,20
"692",692,19,20
"693",693,19,20
"694",694,19,20
"695",695,19,20
"696",696,19,20
"697",697,19,20
"698",698,19,20
"699",699,19,20
"700",700,19,20
"701",701,19,20
"702",702,19,20
"703",703,19,20
"704",704,19,20
"705",705,19,20
"706",706,19,20
"707",707,19,20
"708",708,19,20
"709",709,19,19
"710",710,19,19
"711",711,18,19
"712",712,18,19
"713",713,18,19
"714",714,18,19
"715",715,18,19
"716",716,18,19
"717",717,19,19
"718",718,19,19
"719",719,19,19
"720",720,19,18
"721",721,19,18
"722",722,19,19
"723",723,19,19
"724",724,19,19
"725",725,19,18
"726",726,19,18
"727",727,19,18
"728",728,19,18
"729",729,19,18
"730",730,19,18
"731",731,19,18
"732",732,19,19
"733",733,19,19
"734",734,19,19
"735",735,19,19
"736",736,19,19
"737",737,19,19
"738",738,19,19
"739",739,19,19
"740",740,19,19
"741",741,19,19
"742",742,19,19
"743",743,19,19
"744",744,19,19
"745",745,19,19
"746",746,19,19
"747",747,19,19
"748",748,19,19
"749",749,19,19
"750",750,19,19
"751",751,19,19
"752",752,19,19
"753",753,19,19
"754",754,19,19
"755",755,19,19
"756",756,19,18
"757",757,19,18
"758",758,20,18
"759",759,20,18
"760",760,19,18
"761",761,19,19
"762",762,20,19
"763",763,20,19
"764",764,20,19
"765",765,20,19
"766",766,20,19
"767",767,20,19
"768",768,20,19
"769",769,20,19
"770",770,20,20
"771",771,19,20
"772",772,18,20
"773",773,19,20
"774",774,19,20
"775",775,19,20
"776",776,19,20
"777",777,19,20
"778",778,19,20
"779",779,19,20
"780",780,19,20
"781",781,19,20
"782",782,19,20
"783",783,19,20
"784",784,19,20
"785",785,19,20
"786",786,19,20
"787",787,19,20
"788",788,19,20
"789",789,19,20
"790",790,19,20
"791",791,19,20
"792",792,19,20
"793",793,19,20
"794",794,19,20
"795",795,19,20
"796",796,19,20
"797",797,19,20
"798",798,19,20
"799",799,19,20
"800",800,19,20
"801",801,19,20
"802",802,19,20
"803",803,19,19
"804",804,19,19
"805",805,19,19
"806",806,19,19
"807",807,18,19
"808",808,18,19
"809",809,18,20
"810",810,18,20
"811",811,18,20
"812",812,18,20
"813",813,18,20
"814",814,18,20
"815",815,17,20
"816",816,17,20
"817",817,16,20
"818",818,16,20
"819",819,16,20
"820",820,16,20
"821",821,16,20
"822",822,16,20
"823",823,16,20
"824",824,15,20
"825",825,15,19
"826",826,15,19
"827",827,16,19
"828",828,16,19
"829",829,17,19
"830",830,17,19
"831",831,17,19
"832",832,17,19
"833",833,17,19
"834",834,18,19
"835",835,18,19
"836",836,18,19
"837",837,18,20
"838",838,18,20
"839",839,18,20
"840",840,18,20
"841",841,18,20
"842",842,18,20
"843",843,18,20
"844",844,18,20
"845",845,18,20
"846",846,18,20
"847",847,18,20
"848",848,18,20
"849",849,18,20
"850",850,18,20
"851",851,18,20
"852",852,18,20
"853",853,18,20
"854",854,18,20
"855",855,18,20
"856",856,18,20
"857",857,18,20
"858",858,18,20
"859",859,18,20
"860",860,18,20
"861",861,18,20
"862",862,18,20
"863",863,18,20
"864",864,18,20
"865",865,18,19
"866",866,18,19
"867",867,18,19
"868",868,18,19
"869",869,18,19
"870",870,18,18
"871",871,18,18
"872",872,18,18
"873",873,18,18
"874",874,18,18
"875",875,18,18
"876",876,18,18
"877",877,17,18
"878",878,18,18
"879",879,18,19
"880",880,18,19
"881",881,18,19
"882",882,18,19
"883",883,18,19
"884",884,17,19
"885",885,17,19
"886",886,17,19
"887",887,17,19
"888",888,17,19
"889",889,17,19
"890",890,17,19
"891",891,17,19
"892",892,17,19
"893",893,17,19
"894",894,17,19
"895",895,17,19
"896",896,17,19
"897",897,17,19
"898",898,18,19
"899",899,18,19
"900",900,18,19
"901",901,18,19
"902",902,18,19
"903",903,18,19
"904",904,18,19
"905",905,18,19
"906",906,18,19
"907",907,18,19
"908",908,18,19
"909",909,18,19
"910",910,18,19
"911",911,18,19
"912",912,19,19
"913",913,19,19
"914",914,19,20
"915",915,19,20
"916",916,19,20
"917",917,19,20
"918",918,19,20
"919",919,19,20
"920",920,20,20
"921",921,20,20
"922",922,20,20
"923",923,20,20
"924",924,20,20
"925",925,20,20
"926",926,20,20
"927",927,20,20
"928",928,20,20
"929",929,20,20
"930",930,20,20
"931",931,20,20
"932",932,20,20
"933",933,20,20
"934",934,20,20
"935",935,20,20
"936",936,20,20
"937",937,20,20
"938",938,20,20
"939",939,20,20
"940",940,20,20
"941",941,20,20
"942",942,20,20
"943",943,20,20
"944",944,20,20
"945",945,20,20
"946",946,20,20
"947",947,19,20
"948",948,19,20
"949",949,19,20
"950",950,19,20
"951",951,19,20
"952",952,19,20
"953",953,20,20
"954",954,20,20
"955",955,19,20
"956",956,19,20
"957",957,19,20
"958",958,19,20
"959",959,19,20
"960",960,19,20
"961",961,19,20
"962",962,19,20
"963",963,19,20
"964",964,19,20
"965",965,19,20
"966",966,19,20
"967",967,19,20
"968",968,19,20
"969",969,19,20
"970",970,19,20
"971",971,19,20
"972",972,19,20
"973",973,19,20
"974",974,19,20
"975",975,19,20
"976",976,19,20
"977",977,19,20
