"","Timepoints","Equilibrium","Perturbations"
"354",354,3,3
"355",355,3,3
"356",356,2,4
"357",357,2,4
"358",358,2,4
"359",359,2,4
"360",360,2,4
"361",361,2,4
"362",362,1,4
"363",363,1,4
"364",364,1,4
"365",365,1,5
"366",366,1,4
"367",367,1,4
"368",368,1,4
"369",369,0,4
"370",370,0,4
"371",371,0,4
"372",372,0,4
"373",373,0,4
"374",374,0,4
"375",375,0,4
"376",376,0,4
"377",377,0,4
"378",378,0,5
"379",379,0,5
"380",380,0,4
"381",381,0,4
"382",382,0,4
"383",383,0,3
"384",384,0,3
"385",385,0,2
"386",386,0,2
"387",387,0,2
"388",388,0,2
"389",389,0,2
"390",390,0,2
"391",391,0,2
"392",392,0,2
"393",393,0,1
"394",394,0,1
"395",395,0,1
"396",396,0,1
"397",397,0,1
"398",398,0,1
"399",399,0,0
"400",400,0,0
"401",401,0,0
"402",402,0,0
"403",403,0,0
"404",404,0,0
"405",405,0,0
"406",406,0,0
"407",407,0,0
"408",408,0,0
"409",409,0,1
"410",410,0,1
"411",411,0,2
"412",412,0,3
"413",413,0,4
"414",414,0,4
"415",415,0,4
"416",416,0,4
"417",417,0,4
"418",418,0,4
"419",419,0,4
"420",420,0,4
"421",421,0,4
"422",422,0,4
"423",423,0,4
"424",424,0,4
"425",425,0,4
"426",426,0,4
"427",427,0,4
"428",428,0,4
"429",429,0,4
"430",430,0,4
"431",431,0,4
"432",432,0,4
"433",433,0,4
"434",434,0,4
"435",435,0,4
"436",436,0,4
"437",437,0,4
"438",438,0,4
"439",439,0,4
"440",440,0,4
"441",441,0,4
"442",442,0,4
"443",443,0,3
"444",444,0,3
"445",445,0,3
"446",446,0,3
"447",447,0,3
"448",448,0,3
"449",449,0,3
"450",450,1,2
"451",451,1,2
"452",452,1,2
"453",453,1,1
"454",454,1,1
"455",455,1,1
"456",456,1,1
"457",457,1,2
"458",458,1,2
"459",459,1,2
"460",460,1,2
"461",461,1,2
"462",462,1,2
"463",463,1,2
"464",464,1,2
"465",465,1,2
"466",466,1,3
"467",467,1,3
"468",468,1,3
"469",469,1,2
"470",470,1,2
"471",471,1,2
"472",472,1,2
"473",473,1,2
"474",474,1,2
"475",475,1,2
"476",476,1,2
"477",477,1,2
"478",478,1,2
"479",479,1,2
"480",480,1,2
"481",481,1,2
"482",482,1,2
"483",483,1,2
"484",484,1,2
"485",485,1,2
"486",486,1,3
"487",487,1,3
"488",488,1,3
"489",489,1,3
"490",490,1,3
"491",491,0,3
"492",492,0,3
"493",493,0,3
"494",494,0,3
"495",495,0,3
"496",496,0,4
"497",497,0,4
"498",498,0,4
"499",499,0,4
"500",500,0,4
"501",501,0,3
"502",502,0,3
"503",503,0,3
"504",504,0,3
"505",505,1,3
"506",506,1,3
"507",507,1,4
"508",508,1,3
"509",509,1,3
"510",510,1,3
"511",511,1,3
"512",512,1,3
"513",513,1,3
"514",514,1,3
"515",515,1,3
"516",516,1,3
"517",517,1,3
"518",518,1,3
"519",519,1,3
"520",520,1,3
"521",521,1,3
"522",522,1,3
"523",523,1,3
"524",524,1,3
"525",525,1,3
"526",526,1,3
"527",527,1,3
"528",528,1,3
"529",529,1,3
"530",530,2,3
"531",531,2,3
"532",532,2,3
"533",533,2,3
"534",534,2,3
"535",535,2,3
"536",536,2,3
"537",537,2,4
"538",538,2,4
"539",539,2,4
"540",540,2,4
"541",541,2,4
"542",542,2,5
"543",543,2,5
"544",544,2,5
"545",545,2,5
"546",546,2,5
"547",547,2,6
"548",548,2,5
"549",549,2,5
"550",550,2,5
"551",551,2,5
"552",552,2,5
"553",553,2,4
"554",554,2,4
"555",555,2,4
"556",556,2,4
"557",557,2,5
"558",558,2,5
"559",559,2,5
"560",560,1,5
"561",561,1,6
"562",562,0,6
"563",563,0,6
"564",564,0,6
"565",565,0,6
"566",566,0,6
"567",567,0,6
"568",568,0,6
"569",569,0,6
"570",570,0,6
"571",571,0,6
"572",572,0,6
"573",573,0,6
"574",574,0,7
"575",575,0,6
"576",576,0,6
"577",577,0,5
"578",578,0,5
"579",579,1,5
"580",580,1,5
"581",581,2,5
"582",582,3,5
"583",583,3,5
"584",584,3,5
"585",585,3,6
"586",586,3,6
"587",587,3,6
