"","Timepoints","Equilibrium"
"1",1,12
"2",2,12
"3",3,12
"4",4,12
"5",5,11
"6",6,12
"7",7,12
"8",8,11
"9",9,10
"10",10,9
"11",11,9
"12",12,9
"13",13,9
"14",14,9
"15",15,9
"16",16,9
"17",17,9
"18",18,9
"19",19,9
"20",20,9
"21",21,9
"22",22,9
"23",23,9
"24",24,9
"25",25,9
"26",26,9
"27",27,10
"28",28,9
"29",29,10
"30",30,11
"31",31,11
"32",32,11
"33",33,11
"34",34,11
"35",35,10
"36",36,10
"37",37,10
"38",38,11
"39",39,12
"40",40,13
"41",41,13
"42",42,13
"43",43,13
"44",44,13
"45",45,13
"46",46,13
"47",47,13
"48",48,13
"49",49,12
"50",50,11
"51",51,11
"52",52,10
"53",53,9
"54",54,9
"55",55,9
"56",56,9
"57",57,9
"58",58,8
"59",59,8
"60",60,8
"61",61,9
"62",62,9
"63",63,9
"64",64,8
"65",65,8
"66",66,9
"67",67,9
"68",68,9
"69",69,8
"70",70,8
"71",71,9
"72",72,9
"73",73,9
"74",74,9
"75",75,9
"76",76,9
"77",77,9
"78",78,8
"79",79,9
"80",80,9
"81",81,10
"82",82,10
"83",83,10
"84",84,11
"85",85,10
"86",86,11
"87",87,11
"88",88,12
"89",89,12
"90",90,12
"91",91,13
"92",92,13
"93",93,13
"94",94,13
"95",95,13
"96",96,13
"97",97,13
"98",98,13
"99",99,13
"100",100,13
"101",101,13
"102",102,13
"103",103,13
"104",104,13
"105",105,13
"106",106,13
"107",107,13
"108",108,13
"109",109,13
"110",110,13
"111",111,14
"112",112,14
"113",113,13
"114",114,13
"115",115,13
"116",116,13
"117",117,13
"118",118,12
"119",119,12
"120",120,12
"121",121,13
"122",122,13
"123",123,13
"124",124,13
"125",125,13
"126",126,13
"127",127,13
"128",128,12
"129",129,12
"130",130,13
"131",131,13
"132",132,13
"133",133,12
"134",134,12
"135",135,12
"136",136,12
"137",137,12
"138",138,12
"139",139,12
"140",140,11
"141",141,11
"142",142,11
"143",143,12
"144",144,12
"145",145,11
"146",146,11
"147",147,11
"148",148,10
"149",149,10
"150",150,10
"151",151,10
"152",152,10
"153",153,10
"154",154,11
"155",155,11
"156",156,11
"157",157,11
"158",158,11
"159",159,11
"160",160,11
"161",161,11
"162",162,11
"163",163,11
"164",164,11
"165",165,12
"166",166,12
"167",167,12
"168",168,12
"169",169,11
"170",170,11
"171",171,11
"172",172,11
"173",173,11
"174",174,11
"175",175,10
"176",176,10
"177",177,10
"178",178,10
"179",179,9
"180",180,9
"181",181,9
"182",182,8
"183",183,7
"184",184,7
"185",185,7
"186",186,7
"187",187,7
"188",188,7
"189",189,7
"190",190,7
"191",191,7
"192",192,6
"193",193,6
"194",194,6
"195",195,6
"196",196,6
"197",197,6
"198",198,6
"199",199,6
"200",200,6
"201",201,7
"202",202,7
"203",203,7
"204",204,7
"205",205,7
"206",206,8
"207",207,9
"208",208,9
"209",209,9
"210",210,9
"211",211,8
"212",212,8
"213",213,8
"214",214,8
"215",215,8
"216",216,8
"217",217,8
"218",218,8
"219",219,8
"220",220,8
"221",221,8
"222",222,8
"223",223,8
"224",224,8
"225",225,8
"226",226,8
"227",227,8
"228",228,8
"229",229,8
"230",230,8
"231",231,8
"232",232,8
"233",233,7
"234",234,7
"235",235,7
"236",236,6
"237",237,6
"238",238,5
"239",239,4
"240",240,4
"241",241,4
"242",242,4
"243",243,4
"244",244,4
"245",245,5
"246",246,5
"247",247,5
"248",248,5
"249",249,5
"250",250,6
"251",251,6
"252",252,5
"253",253,5
"254",254,5
"255",255,5
"256",256,4
"257",257,3
"258",258,3
"259",259,3
"260",260,3
"261",261,3
"262",262,3
"263",263,2
"264",264,2
"265",265,2
"266",266,2
"267",267,2
"268",268,2
"269",269,3
"270",270,3
"271",271,4
"272",272,4
"273",273,4
"274",274,4
"275",275,4
"276",276,3
"277",277,3
"278",278,3
"279",279,4
"280",280,3
"281",281,3
"282",282,3
"283",283,3
"284",284,3
"285",285,3
"286",286,3
"287",287,3
"288",288,3
"289",289,3
"290",290,3
"291",291,3
"292",292,3
"293",293,3
"294",294,3
"295",295,3
"296",296,4
"297",297,4
"298",298,4
"299",299,4
"300",300,4
"301",301,5
"302",302,5
"303",303,5
"304",304,5
"305",305,5
"306",306,5
"307",307,5
"308",308,5
"309",309,6
"310",310,6
"311",311,5
"312",312,5
"313",313,5
"314",314,5
"315",315,6
"316",316,7
"317",317,6
"318",318,5
"319",319,5
"320",320,5
"321",321,5
"322",322,5
"323",323,4
"324",324,4
"325",325,4
"326",326,4
"327",327,4
"328",328,4
"329",329,4
"330",330,4
"331",331,4
"332",332,4
"333",333,4
"334",334,4
"335",335,4
"336",336,4
"337",337,4
"338",338,4
"339",339,4
"340",340,4
"341",341,4
"342",342,4
"343",343,4
"344",344,4
"345",345,4
"346",346,4
"347",347,4
"348",348,3
"349",349,3
"350",350,3
"351",351,3
"352",352,3
"353",353,3
"354",354,4
"355",355,4
"356",356,3
"357",357,3
"358",358,3
"359",359,3
"360",360,3
"361",361,3
"362",362,2
"363",363,2
"364",364,2
"365",365,2
"366",366,2
"367",367,2
"368",368,2
"369",369,1
"370",370,1
"371",371,1
"372",372,1
"373",373,1
"374",374,1
"375",375,1
"376",376,0
"377",377,0
"378",378,0
"379",379,0
"380",380,1
"381",381,1
