"","Item","Proportion_No_Sui","Proportion_Sui"
"1","V1",0.9199,0.03965
"11","V2",0.91855,0.13105
"12","V3",0.96955,0.0527
"13","V4",0.77905,0.1975
"14","V5",0.94485,0.0586
"15","V6",0.8694,0.0628
"16","V7",0.7483,0.0365
"17","V8",0.9829,0.0564
"18","V9",0.8462,0.2701
"19","V10",0.99495,0.50825
"110","V11",0.9874,0.0233
"111","V12",0.94595,0.3507
"112","V13",0.95245,0.23935
"113","V14",0.9605,0.25615
"114","V15",0.99235,0.4204
"115","V16",0.96855,0.30365
"116","V17",0.9922,0.3696
"117","V18",0.985,0.48955
"118","V19",0.9758,0.7272
"119","V20",0.9765,0.7918
"120","V21",0.00705,0.9246
